Date;Consumptieprijsindex;Gezondheidsindex
2010-01-01;91,54;92,21
2010-02-01;91,93;92,65
2010-03-01;92,27;92,83
2010-04-01;92,59;93,02
2010-05-01;92,96;93,33
2010-06-01;92,95;93,35
2010-07-01;92,99;93,45
2010-08-01;93,05;93,51
2010-09-01;93,34;93,80
2010-10-01;93,47;93,94
2010-11-01;93,59;94,02
2010-12-01;93,96;94,26
2011-01-01;94,49;94,71
2011-02-01;95,04;95,26
2011-03-01;95,52;95,54
2011-04-01;95,75;95,69
2011-05-01;96,07;96,03
2011-06-01;96,37;96,40
2011-07-01;96,48;96,55
2011-08-01;96,40;96,45
2011-09-01;96,66;96,65
2011-10-01;96,81;96,84
2011-11-01;97,19;97,21
2011-12-01;97,23;97,31
2012-01-01;97,94;97,91
2012-02-01;98,52;98,51
2012-03-01;98,73;98,54
2012-04-01;98,80;98,52
2012-05-01;98,77;98,66
2012-06-01;98,54;98,53
2012-07-01;98,72;98,71
2012-08-01;99,15;98,92
2012-09-01;99,32;98,96
2012-10-01;99,50;99,25
2012-11-01;99,39;99,32
2012-12-01;99,40;99,41
2013-01-01;99,37;99,36
2013-02-01;99,69;99,58
2013-03-01;99,83;99,77
2013-04-01;99,79;99,77
2013-05-01;99,94;100,03
2013-06-01;100,11;100,20
2013-07-01;100,21;100,24
2013-08-01;100,15;100,10
2013-09-01;100,21;100,03
2013-10-01;100,13;100,18
2013-11-01;100,20;100,29
2013-12-01;100,36;100,41
2014-01-01;100,50;100,60
2014-02-01;100,66;100,75
2014-03-01;100,72;100,79
2014-04-01;100,41;100,44
2014-05-01;100,30;100,29
2014-06-01;100,38;100,34
2014-07-01;100,55;100,46
2014-08-01;100,17;100,12
2014-09-01;100,09;100,06
2014-10-01;100,22;100,28
2014-11-01;100,09;100,28
2014-12-01;99,98;100,40
2015-01-01;99,85;100,61
2015-02-01;100,26;100,89
2015-03-01;100,32;100,73
2015-04-01;100,70;101,12
2015-05-01;100,86;101,16
2015-06-01;101,01;101,33
2015-07-01;101,01;101,37
2015-08-01;101,08;101,61
2015-09-01;101,15;101,85
2015-10-01;101,50;102,27
2015-11-01;101,61;102,28
2015-12-01;101,48;102,23
2016-01-01;101,59;102,42
2016-02-01;101,65;102,53
2016-03-01;102,57;103,47
2016-04-01;102,75;103,53
2016-05-01;103,08;103,77
2016-06-01;103,19;103,74
2016-07-01;103,31;103,93
2016-08-01;103,26;103,97
2016-09-01;103,04;103,68
2016-10-01;103,34;103,86
2016-11-01;103,41;103,97
2016-12-01;103,54;104,05
2017-01-01;104,28;104,65
2017-02-01;104,67;105,06
2017-03-01;104,91;105,32
2017-04-01;105,09;105,46
2017-05-01;105,00;105,42
2017-06-01;104,84;105,29
2017-07-01;105,15;105,63
2017-08-01;105,22;105,68
2017-09-01;105,11;105,51
2017-10-01;105,41;105,84
2017-11-01;105,55;105,85
2017-12-01;105,75;106,15
2018-01-01;106,06;106,37
2018-02-01;106,22;106,54
2018-03-01;106,37;106,71
2018-04-01;106,69;106,89
2018-05-01;106,91;106,99
2018-06-01;107,02;107,01
2018-07-01;107,43;107,44
2018-08-01;107,58;107,55
2018-09-01;107,58;107,52
2018-10-01;108,31;108,26
2018-11-01;108,48;108,48
2018-12-01;108,22;108,45
2019-01-01;108,17;108,50
2019-02-01;108,52;108,78
2019-03-01;108,85;109,04
2019-04-01;108,91;108,98
2019-05-01;108,93;108,89
2019-06-01;108,87;109,02
2019-07-01;108,96;109,07
2019-08-01;108,94;109,07
2019-09-01;108,44;108,58
2019-10-01;108,83;108,98
2019-11-01;108,90;109,00
2019-12-01;109,04;109,18
2020-01-01;109,69;109,72
2020-02-01;109,71;109,87
2020-03-01;109,53;109,96
2020-04-01;109,53;110,22
2020-05-01;109,45;110,10
2020-06-01;109,52;110,05
2020-07-01;109,76;110,16
2020-08-01;109,83;110,20
2020-09-01;109,42;109,78
2020-10-01;109,64;110,11
2020-11-01;109,46;109,91
2020-12-01;109,49;109,88
2021-01-01;109,97;110,35
2021-02-01;110,21;110,39
2021-03-01;110,51;110,56
2021-04-01;110,88;110,93
2021-05-01;111,05;110,99
2021-06-01;111,30;111,31
2021-07-01;112,25;112,18
2021-08-01;112,83;112,74
2021-09-01;112,55;112,29
2021-10-01;114,20;113,94
2021-11-01;115,63;115,20
2021-12-01;115,74;115,60
2022-01-01;118,32;118,21
2022-02-01;119,07;118,74
2022-03-01;119,69;119,05
2022-04-01;120,09;119,59
2022-05-01;121,01;120,25
2022-06-01;122,04;121,02
2022-07-01;123,05;122,35
2022-08-01;124,05;123,68
2022-09-01;125,24;124,92
2022-10-01;128,21;127,92
2022-11-01;127,92;127,44
2022-12-01;127,72;127,89
2023-01-01;127,84;128,00
2023-02-01;126,95;126,86
2023-03-01;127,67;127,80
2023-04-01;126,82;126,70
2023-05-01;127,30;127,35
2023-06-01;127,11;127,09
2023-07-01;128,14;128,22
2023-08-01;129,12;128,82
2023-09-01;128,23;127,52
2023-10-01;128,67;128,30
2023-11-01;128,89;128,55
2023-12-01;129,45;129,53
2024-01-01;130,08;130,19
2024-02-01;131,01;130,95
2024-03-01;131,73;131,75
2024-04-01;131,10;130,85
2024-05-01;131,58;131,42
2024-06-01;131,87;131,92
2024-07-01;132,81;132,84
2024-08-01;132,81;132,94
2024-09-01;132,15;132,41
